Name,Weapon,Class,Ability Tree,AP,Purpose,Type,Hit Type,Target Type,Attack Type,Applied Vulnerability,Applied Status,Anima Deviation,Cast Time,Cooldown,Augments,Affects,Indirect Affects,Description
Breaching Shot,Shotgun,Ranged,Control,2,Buff,Active,N/A,N/A,N/A,None,None,No,0,90000,Support,,,"Gives all group members a beneficial effect that increases Pentration Chance by 45% for 8 seconds. Affected group members also gain the ""Depleted"" effect which prevents them from gaining the ""Breaching Shot"" effect for 90 seconds. This ability does not trigger and is not affected by global recharge time."
Breach Party,Shotgun,Ranged,Control,3,Cooldown,Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,Breaching Shot,,"Reduces the recharge time of ""Breaching Shot"" by 30 seconds and reduces the duration of ""Depleted"" effect by 30 seconds."
Both Barrels,Shotgun,Ranged,Control,4,Damage,Active - Consumer,Single Hit,Cone,Normal,None,None,No,1000,4000,Damage,,,"Cone: Affects up to 6 enemies in a 60 degree 7 metre cone in front of you. Consumes all Shotgun Resources. A cone Blast attack that deals 50 - 99 physical damage, based on the number of resources consumed."
Authority,Shotgun,Ranged,Control,7,Modifier,Passive - Elite,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,Group effects,,Your group-wide effects are 20% more effective.
Fire and Forget,Shotgun,Ranged,Crackdown,9,Damage,Active - Builder,Single Hit,Column,Blast,None,None,No,1000,0,Damage,,,Column: Affects up to 6 enemies in a 4 metre wide by 10 metre long area in front of you. Builds 1 resource for each equipped weapon. A column Blast attack that deals 27 physical damage.
12 Gouge,Shotgun,Ranged,Crackdown,12,Modifier,Passive,N/A,N/A,N/A,None,Debilitated,No,N/A,N/A,N/A,Penetrate,,"Whenever you penetrate, your target becomes Weakened by a single stack of the Debilitated effect, which reduces all damage dealt by 3% per stack for 10 seconds. This effect can stack up to 10 times."
Riot Act,Shotgun,Ranged,Crackdown,16,Damage,Active - Consumer,Single Hit,TAoE,Normal,None,None,No,1000,4000,Damage,,,"TAoE: Affects up to 6 enemies in a 5 metre radius around the target. Consumes all Shotgun Resources. A TAoE attack that deals 45 - 90 physical damage, based on the number of resources consumed."
Riot Control,Shotgun,Ranged,Crackdown,21,Modifier,Passive,N/A,N/A,N/A,None,Hindered,No,N/A,N/A,N/A,Riot Act,,"""Riot Act"" also leaves a ground area lasting 5 seconds that reduces the movement speed of enemies inside it by 15%."
Stopping Power,Shotgun,Ranged,Crackdown,27,Damage,Active - Consumer,Single Hit,Cone,Normal,None,None,No,1000,4000,Damage,,,"Cone: Affects up to 6 enemies in a 7 metre long 60 degree cone in front of you. Consumes all Shotgun Resources. A cone attack that deals 50 - 99 physical damage, based on the number of resources consumed. This attack will penetrate any targets that are Hindered."
Blast Corps,Shotgun,Ranged,Crackdown,34,Damage,Passive,Single Hit,N/A,N/A,None,None,No,N/A,N/A,N/A,Blast,,Blast abilities also apply a detrimental effect which makes the target take X physical damage the next time they are hit.
Shotgun Wedding,Shotgun,Ranged,Crackdown,50,Damage,Active - Elite,Multi Hit,Cone,Channeled,Magic,None,No,2500,20000,"Damage, Support",,,"Channelled: Every 0.5 seconds for 2.5 seconds. Cone: Affects up to 6 enemies in a 9 metre long 60 degree cone in front of you. A channelled cone attack that deals 66 physical damage per hit. Each time the ability fires and hits any number of targets, the damage of the remaining hits is increased by 25%. This effect can stack up to 4 times. Applies Vulnerable to Magic."
Beanbag Rounds,Shotgun,Ranged,Restricted Access,9,Modifier,Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,Hindered,,"Whenever you apply Hindered, you gain the Minor Penetration Chance effect, which increases your Penetration Chance by 15% for 8 seconds."
Kickback,Shotgun,Ranged,Restricted Access,12,"Damage, Mobility",Active,Single Hit,Column,Normal,None,None,No,1000,25000,"Damage, Support",,,"Column Dash: Dash backward 10 metres, affecting up to 7 enemies in a 6 metre wide column along the way. A single target attack that deals 61 physical damage. Also performs a backward column dash attack that deals 34 physical damage."
Pinned Down,Shotgun,Ranged,Restricted Access,16,Debuff,Passive,N/A,N/A,N/A,None,Hindered,No,N/A,N/A,N/A,Penetrate,,"Whenever you penetrate, you also cause the target to become Hindered and its movement speed to be reduced by 70% for 4 seconds. This effect cannot happen more frequently than once every 30 seconds."
Takedown,Shotgun,Ranged,Restricted Access,21,Damage,Active,Single Hit,Single Target,Normal,None,Hindered,No,1000,25000,"Damage, Support",,,"A single target attack that deals 118 physical damage. The target becomes Hindered and its movement speed is reduced by 70% for 4 seconds. If you have 5 Shotgun Resources on the target, the movement reducing effect will last 2 seconds longer."
Overpenetration,Shotgun,Ranged,Restricted Access,27,Modifier,Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,Penetrate,,"Whenever you penetrate, you build a counter. Once you reach 3 counters, you gain the Minor Penetration Chance effect, which increases Penetration Chance by 15% for 8 seconds."
"Lock, Stock & Barrel",Shotgun,Ranged,Restricted Access,34,Resources,Active,N/A,N/A,N/A,None,None,No,1000,30000,Support,,,Gives you a beneficial effect that causes your next Shotgun resource consumer within 20 seconds to build 5 Shotgun Resources at the end of activation.
Close Quarters,Shotgun,Ranged,Restricted Access,50,Modifier,Passive - Elite,N/A,N/A,N/A,None,Hindered,No,N/A,N/A,N/A,Hit,,"Whenever you hit a target that is within 3 metres of you, target becomes Hindered and its movement speed is reduced by 70% for 4 seconds."
Single Barrel,Shotgun,Ranged,Close Encounters,9,Damage,Active - Builder,Single Hit,Single Target,Normal,None,None,No,500,0,Damage,,,"Builds 1 resource for each equipped weapon. A single target attack that deals 47 physical damage, or 52 physical damage if the target is Weakened."
Strike Force,Shotgun,Ranged,Close Encounters,12,Modifier,Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,Strike,,Increases the Penetration Chance of Strike attacks by 7.5%.
Raging Bullet,Shotgun,Ranged,Close Encounters,16,Damage,Active - Consumer,Single Hit,Single Target,Normal,None,None,No,1000,4000,Damage,,,"Consumes all Shotgun Resources. A single target Strike attack that deals 77 - 153 physical damage. If the target is between 3 and 9 metres from you it will instead deal 86 - 170 physical damage, or if the target is closer that 3 metres it will deal 92 - 182 physical damage. Damage scales based on the number of resources consumed."
Body Piercing,Shotgun,Ranged,Close Encounters,21,Modifier,Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,Penetrate,,"Whenever you penetrate, you gain single stack of the Penetration Rating effect, which increases your Penetration Rating by 40 per stack for 8 seconds. This effect can stack up to 5 times."
Heavy Recoil,Shotgun,Ranged,Close Encounters,27,"Damage, Mobility",Active - Consumer,Single Hit,Single Target,Normal,None,None,No,1000,5000,Damage,,,"Consumes all Shotgun Resources. A single target attack that deals 77 - 165 physical damage, based on the number of resources consumed. If the target is Weakened you also dash 10 metres backward, dealing 14 physical damage to up to 6 enemies in a 6 metre wide area on your way."
Invasive Measures,Shotgun,Ranged,Close Encounters,34,"Modifier, Resources",Passive,Single Hit,Single Target,Normal,None,None,No,N/A,N/A,N/A,,Weakened,"Whenever you hit a Weakened target, you have a 17.5% chance to build 1 resource for your primary weapon. If you already have the maximum available resources when this effect triggers, you will instead perform an additional hit dealing x physical damage to the target."
Point Blank,Shotgun,Ranged,Close Encounters,50,Damage,Active - Elite,Single Hit,Single Target,Normal,Melee,Knockback,Yes,1000,25000,"Damage, Support",,,A single target attack that deals 348 physical damage and causes the target to be knocked 2 metres back. This ability has a 3 metre range. Applies Vulnerable to Melee. Susceptible to Anima Deviation.
Scattershot,Shotgun,Ranged,Securing the Perimeter,9,Damage,Active - Builder,Single Hit,TAoE,Normal,None,None,No,1000,0,Damage,,,TAoE: Affects up to 6 enemies in a 5 metre radius around the target. Builds 1 resource for each equipped weapon. A TAoE attack that deals 24 physical damage.
Collateral Damage,Shotgun,Ranged,Securing the Perimeter,12,"Modifier, Purge",Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,Blast,,Blast attacks have a 50% chance to purge 1 beneficial effect from the target.
Shotgun Turret,Shotgun,Ranged,Securing the Perimeter,16,Damage,Active - Consumer,Multi Hit,Cone,Blast,None,None,No,1000,10000,"Damage, Support",,,"Consumes all Shotgun Resources. A Blast attack that places a turret at your feet. The turret will fire every seconds for 5 seconds, affecting up to 6 enemies in a 7 metre long 120 degree cone in front of you, dealing 14 - 28 physical damage, based on the number of resources consumed. This ability has a 7 metre range."
High-Gauge Turret,Shotgun,Ranged,Securing the Perimeter,21,Modifier,Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,Shotgun Turret,,"Increases damage dealt by ""Shotgun Turret"" by 15%."
Tear Gas,Shotgun,Ranged,Securing the Perimeter,27,Damage,Active - Consumer,Single Hit,TAoE,Normal,None,None,No,1000,4000,Damage,,,"TAoE: Affects up to 6 enemies in a 5 metre radius around your target. Consumes all Shotgun Resources. A TAoE attack that deals 45 - 90 physical damage, or 50 - 99 physical damage to Hindered targets. Damage scales based on the number of resources consumed."
Mitigating Factor,Shotgun,Ranged,Securing the Perimeter,34,"Modifier, Self-Survivability",Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,"Penetrate, Hindered",,"Whenever you penetrate or apply Hindered, you gain a single stack of the Protection effect, which increases your Physical and Magical Protection by 40 per stack for 8 seconds. This effect can stack up to 5 times."
Cleanup,Shotgun,Ranged,Securing the Perimeter,50,"Cleanse, Purge",Active - Elite,N/A,N/A,N/A,None,None,No,0,60000,Support,,,"Gives all group memebers a beneficial effect that lasts 9 seconds. While this effect is active, it cleanse 1 detrimental effect every 1.5 seconds. Their targets will be purged of 1 beneficial effect with each hit. This ability does not trigger and is not affected by global recharge time."
Crap Shoot,Shotgun,Ranged,Hunkering Down,9,"Damage, Purge",Passive,N/A,N/A,Normal,None,None,No,N/A,N/A,N/A,,Weakened,"Whenever you hit a Weakened target there is a random chance to get one of three effects. Only one of the following effects can occur whenever you hit a target: ○ Seven Out: 16% chance to purge 1 beneficial effect. ○ Snake Eyes: 3% chance to hit the target for 21 physical damage. ○ Midnight: 3% chance to gain the Minor Penetration effect, which increases your Penetration Chance by 15% for 8 seconds."
Smart Bomb,Shotgun,Ranged,Hunkering Down,12,"Damage, Purge",Active,Single Hit,GTAoE,Normal,None,None,No,1000,30000,"Damage, Support",,,"Places a mine at the targeted point that lasts 60 seconds. If an enemy comes within 5 metres of the mine, it explodes dealing 60 physical damage to up to 6 enemies in a 5 metre radius around it. Affected targets also have 2 beneficial effects purged from them."
Hardcase,Shotgun,Ranged,Hunkering Down,16,Self-Survivability,Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,Weakened,,"Whenever you apply Weakened, you gain a single stack of the Protection effect, which increases your Physical and Magical Protection by 40 per stack for 8 seconds. This effect can stack up to 5 times."
Flak Jacket,Shotgun,Ranged,Hunkering Down,21,Survivability,Active,N/A,N/A,N/A,None,None,No,0,60000,"Support, Survivability",,,Grants all group members a beneficial effect that reduces all damage received by 15% for 5 seconds. This ability does not trigger and is not affected by global recharge time.
Full Flak Jacket,Shotgun,Ranged,Hunkering Down,27,Modifier,Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,Flak Jacket,,"Increases the duration of ""Flak Jacket"" by 5 seconds. Increases the damage reduction effect of ""Flak Jacket"" to 25%."
Bomb Squad,Shotgun,Ranged,Hunkering Down,34,Damage,Active,Single Hit,GTAoE,Normal,None,Hindered,No,1000,30000,"Damage, Support",,,"Places a mine at the targeted point that lasts 60 seconds. If an enemy comes within 5 metres of the mine, it explodes dealing 60 physical damage to up to 6 enemies in a 5 metre radius around it. Affected targets also become Hindered and their movement speed is reduced by 70% for 8 seconds."
Shield Formation,Shotgun,Ranged,Hunkering Down,50,Self-Survivability,Passive - Elite,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,,,"Every 2 seconds you gain a single stack of the Protection effect, which increases your Physical and Magical Protection by 40 per stack for 8 seconds. This effect can stack up to 5 times. Also, whenever you gain Minor Ward, Major Ward or stacks of the Protection effect, all friends within 15 metres of you will receive the same effect. Reduces all incoming damage by 5%."
Striker,Shotgun,Ranged,Tactical Surprise,9,Damage,Active - Builder,Single Hit,Single Target,Strike,None,None,No,1000,0,Damage,,,Builds 1 resource for each equipped weapon. A single target Strike attack that deals 49 physical damage.
Impact Striker,Shotgun,Ranged,Tactical Surprise,12,Damage,Passive,N/A,N/A,N/A,None,None,No,N/A,N/A,N/A,Striker+Hindered,,"Increases damage dealt by ""Striker"" to Hindered targets by 25%"
Defensive Turret,Shotgun,Ranged,Tactical Surprise,16,Survivability,Active - Consumer,N/A,PBAoE,N/A,None,None,No,1000,4000,"Support, Survivability",,,"Consumes all Shotgun Resources. Places a turret at your feet, lasting 10 seconds. Friends staying within a 5 metre radius of the turret gain a beneficial effect that reduces all damage recived by 3% per resource consumed."
Punisher,Shotgun,Ranged,Tactical Surprise,21,"Debuff, Modifier",Passive,N/A,N/A,N/A,None,Debilitated,No,N/A,N/A,N/A,Strike,,"Strike attacks also cause the target to become Weakened by a single stack of the Debilitated effect, which reduces all damage dealt by 3% per stack for 10 seconds. This effect can stack up to 10 times."
Sure Shot,Shotgun,Ranged,Tactical Surprise,27,Damage,Active - Consumer,Single Hit,Single Target,,None,,,1000,4000,Damage,,,"Consumes all Shotgun Resources. A single target attack that deals 91 - 179 physical damage, based on the number of resources consumed. If the target is Hindered, you also cleanse 1 detrimental effect from your defensice target and purge 1 beneficial effect from the target."
Perjury,Shotgun,Ranged,Tactical Surprise,34,,Passive,,,,None,,,N/A,N/A,N/A,Penetrate,,"Whenever you penetrate twice in a row or apply Hindered, you also cleanse 1 detrimental effect from yourself. Cleansing a detrimental effect from a penetrating hit has an internal recharge time of 3 seconds."
Bombardment,Shotgun,Ranged,Tactical Surprise,50,Damage,Active - Elite,Multi Hit,GTAoE,,None,,,1000,30000,"Damage, Support",,,Places a turret at the targeted point. The turret will fire at a random enemy within 7 metres every 2.5 seconds for 20 seconds. Affected enemies are deals 75 physical damage and other enemies within 3 metres are dealt 25 physical damage.
The Business,Pistol,Ranged,Armed,1,,Active - Builder,,,,,,,1000,0,Damage,,,"Builds 1 resource for each equipped weapon. A single target attack that hits 3 times, dealing 16 physical damage per hit."
Magnum,Pistol,Ranged,Armed,1,,Passive,,,,,,,N/A,N/A,N/A,The Business,,"""The Business"" also causes the target to become Weakened by single stack of the Corrupted effect, which reduces the effectiveness of heal, barrier and leech effects by 5% per stack for 10 seconds. This effect can stack up to 10 times."
Shootout,Pistol,Ranged,Armed,1,,Active - Consumer,,,,,,,2500,4000,Damage,,,"Channelled: Every 0.5 seconds for 2.5 seconds. Consumes all Pistol Resources. A channelled Focus attack that deals 41 - 62 physical damage per hit, based on the number of resources consumed."
Coup de Grace,Pistol,Ranged,Armed,2,,Passive,,,,,,,N/A,N/A,N/A,Pistol Resources,,"Whenever an enemy dies with your Pistol Resources remaining, up to 6 friends in a 5 metre radius around that enemy are healed for Y."
Drone Kit,Pistol,Ranged,Armed,3,,Active - Consumer,,,,,,,1000,4000,"Damage, Support",,,"Consumes all Pistol Resources. Summons a drone that will follow you around for 20 seconds. Every 2 seconds it will fire at the closest enemy within 5 metres and deal 11 - 22 physical damage, based on the number of resources consumed."
Straight Shooter,Pistol,Ranged,Armed,4,,Passive,,,,,,,N/A,N/A,N/A,Pistol,,Increases direct damage dealt by Pistol abilities by 10%
Dirty Tricks,Pistol,Ranged,Armed,7,,Active - Elite,,,,,,,1000,25000,"Damage, Support",,,"GTAoE: Affects up to 6 enemies in a 5 metre radius around the targeted point. A GTAoE attack that deals 348 physical damage. Affected targets become Hindered and rooted to the ground for 4 seconds. Targets also become Weakened by 5 stacks of the Corrupted effect, which reduces the effectiveness of heal, barrier and leech effects by 5% per stack for 10 seconds. This effect can stack up to 10 times. Susceptible to Anima Deviation."
Hothead,Pistol,Ranged,Dangerous,1,,Passive,,,,,,,N/A,N/A,N/A,Hindered,,"Whenever you apply Hindered, you gain Minor Critical Chance effect, which increases your Critical Chance by 10% for 8 seconds."
Above the Law,Pistol,Ranged,Dangerous,1,,Active - Builder,,,,,,,1000,15000,"Damage, Support",,,"Persistent GTAoE: Places an area effect that affects up to 6 enemies in a 5 metre radius around the targeted point every seconds for 10 seconds. Builds 2 resource for each equipped weapon on each target in the area when placed. A persistent GTAoE attack that creates an area on the ground dealing 7 physical damage, or 8 physical damage to targets that are Hindered."
Vigilante,Pistol,Ranged,Dangerous,1,,Passive,,,,,,,N/A,N/A,N/A,Above the Law,,"Increases the damage of ""Above the Law"" by 10% and the duration by 5 seconds."
Deadly Aim,Pistol,Ranged,Dangerous,2,,Active,,,,,,,0,90000,Support,,,"Gives all group members a beneficial effect that increases Critical Chance by 40% for 10 seconds. Affected group members also gain the ""Uncalibrated"" effect which prevents them from gaining the ""Deadly Aim"" effect for 90 seconds. This ability does not trigger and is not affected by global recharge time."
Calling the Shots,Pistol,Ranged,Dangerous,3,,Passive,,,,,,,N/A,N/A,N/A,Deadly Aim,,"Reduces the recharge time of ""Deadly Aim"" by 30 seconds and reduces the duration of ""Uncalibrated"" effect by 30 seconds."
Wanted,Pistol,Ranged,Dangerous,4,,Active - Consumer,,,,,,,1000,4000,Damage,,,"Chain: Jumps up to 5 metres 5 times, hitting up to 6 enemies. Consumes all Pistol Resources. A Chain attack that deals 45 - 90 physical damage, based on the number of resources consumed."
Rapid Getaway,Pistol,Ranged,Dangerous,7,,Passive - Elite,,,,,,,N/A,N/A,N/A,Consumer,,"Whenever you activate any resource consumer, you gain a beneficial effect that increased your movement speed by 15% for 5 seconds and you gain the Minor Critical Chance effect, which increases your Critical Chance by 10% for 8 seconds."
Hair Trigger,Pistol,Ranged,Bullet Hell,9,,Active - Builder,,,,,,,1000,0,Damage,,,Channelled: Every 0.25 seconds for 1 second. Builds 1 resource for each equipped weapon. A channelled Focus attack that deals 12 physical damage per hit
Increased Focus,Pistol,Ranged,Bullet Hell,12,,Passive,,,,,,,N/A,N/A,N/A,Focus,,Focus attacks have a 7.5% increased chance to critically hit.
Start & Finish,Pistol,Ranged,Bullet Hell,16,,Active - Consumer,,,,,,,1000,4000,Damage,,,"Consumes all Pistol Resources. A single  target attack that performs 2 hits. The first hit deals 23 physical damage. The second hit deals 63 - 146 physical damage, or 70 - 152 physical damage if the target is Weakened."
Mad Skills,Pistol,Ranged,Bullet Hell,21,,Passive,,,,,,,N/A,N/A,N/A,"Critical Hit, Critical Heal",,"Whenever you critically hit or heal, you gain a single stack of the Critically Rating effect, which increased your Critical Rating by 40 per stack for 8 seconds. This effect can stack up to 5 times."
Big Forty Five,Pistol,Ranged,Bullet Hell,27,,Active - Consumer,,,,,,,1500,4000,Damage,,,"Consumes all Pistol Resources. A single target attack that deals 133 - 229 physical damage, based on the number of resources consumed."
Quick Forty Five,Pistol,Ranged,Bullet Hell,34,,Passive,,,,,,,N/A,N/A,N/A,Big Forty Five,,"Reduces the activation time of ""Big Forty Five"" by 0.5 seconds."
Gun Crazy,Pistol,Ranged,Bullet Hell,50,,Active - Elite,,,,,,,3000,20000,"Damage, Support",,,Channelled: Every 0.3 seconds for 3 seconds. ○First 3 hits: 21 physical damage. ○Next 3 hits: 35 physical damage. ○Next 3 hits: 62 physical damage in a 5 metre area around the target. ○Final hit: 175 physical damage. Applies Vulnerable to Magic.
Bad Break,Pistol,Ranged,Crossfire,9,,Passive,,,,,,,N/A,N/A,N/A,,Hindered,"Whenever you hit a Hindered target, the target also becomes Weakened by 2 stacks of the Corrupted effect, which reduces the effectiveness of heal, barrier and leech effects by 5% per stack for 10 seconds. This effect can stack up to 10 times."
Shake and Bake,Pistol,Ranged,Crossfire,12,,Active,,,,,,,1000,45000,"Damage, Support",,,"Column Dash: Dash forward 10 metres, affecting up to 6 enemies in a 6 metre wide column along the way. A column dash attacl that deals 60 physical damage. Affected targets also become Hindered and rooted to the ground for 4 seconds."
Fear and Wonder,Pistol,Ranged,Crossfire,16,,Passive,,,,,,,N/A,N/A,N/A,Critical Hit,,"Whenever you critically hit, the target also becomes Weakened by 2 stacks of the Corrupted effect, which reduces the effectiveness of heal, barrier and leech effects by 5% per stack for 10 seconds. This effect can stack up to 10 times."
Gun-Fu,Pistol,Ranged,Crossfire,21,,Active - Builder,,,,,,,1000,30000,Support,,,PBAoE: Affects up to 6 enemies in a 10 metre radius around you. Applies 5 Pistol Resources to each target. Reduces the recharge time of all Pistol resource consumers currently recharging by 4 seconds.
One in the Chamber,Pistol,Ranged,Crossfire,27,,Passive,,,,,,,N/A,N/A,N/A,Critical Hit,,"Whenever you critically hit, you also perform an additional hit dealing 28 physical damage to the target."
Marked,Pistol,Ranged,Crossfire,34,,Active,,,,,,,1500,30000,"Damage, Support",,,"A single target attack that deals 165 physical damage. The target becomes Weakened by 5 stacks of Corrupted effect, which reduces the effectiveness of heal, barrier and leech effects by 5% per stack for 10 seconds. This effect can stack up to 10 times."
Seal the Deal,Pistol,Ranged,Crossfire,50,,Passive - Elite,,,,,,,N/A,N/A,N/A,"Damage Consumer, Heal Consumer",,Increases the damage and healing done by resource consuming abilities by 20% and also increases the critical and penetration chance of these abilities by 5%.
Killer Flow,Pistol,Ranged,Last One Standing,9,,Active - Builder,,,,,,,1000,0,Damage,,,PBAoE: Affects up to 6 enemies in a 5 metre radius around you. Builds 1 resource for each equipped weapon. A PBAoE attack that deals 24 physical damage.
Running Circles,Pistol,Ranged,Last One Standing,12,,Passive,,,,,,,N/A,N/A,N/A,Critical Hit,,"Whenever you critically hit, you gain a beneficial effect that increases your movement speed by 10% for 5 seconds. Whenever you hit a target when you are moving, you also perform an additional hit dealing x physical damage to the target."
Semi-Auto,Pistol,Ranged,Last One Standing,16,,Active - Consumer,,,,,,,2000,4000,Damage,,,"Channelled: Every 0.4 seconds for 2 seconds. Chain: Jumps up to 5 metres 5 times, hitting up to 6 enemies. Consumes all Pistol Resources. A channelled Chain attack that deals 17 - 27 physical damage per hit, based on the number of resources consumed."
Chain Misery,Pistol,Ranged,Last One Standing,21,,Passive,,,,,,,N/A,N/A,N/A,Chain,,"Whenever you hit with a Chain attack, the target also becomes Weakened by 1 stack of the Corrupted effect, which reduces the effectiveness of heal, barrier and leech effects by 5% per stack for 10 seconds. This effect can stack up to 10 times."
Set 'Em Up,Pistol,Ranged,Last One Standing,27,,Active - Consumer,,,,,,,1000,4000,Damage,,,"TAoE: Affects up to 6 enemies in a 5 metre radius around the target. Consumes all Pistol Resources. A TAoE attack that deals 47 - 92 physical damage, based on the number of resources consumed. If any affected target is Hindered you gain 2 resources for your secondary weapon."
Closer (ability),Pistol,Ranged,Last One Standing,34,,Passive,,,,,,,N/A,N/A,N/A,"Damage Consumer, Heal Consumer",,Increases the damage and healing done by resource consuming abilities by 10%.
Bullet Ballet,Pistol,Ranged,Last One Standing,50,,Active - Elite,,,,,,,2000,20000,"Damage, Support",,,"Channelled: Every 0.2 seconds for 2 seconds. PBAoE: Affects up to 6 enemies in a 10 metre radius around you. Consumes all Pistol Resources. A channelled PBAoE attack 44 physical damage per hit. If you have pistol resources on a target the final hit of this attack deals an additional 21 - 110 physical damage to targets, based on the number of resources consumed. Also, whenever you hit, you gain a single stack of Critical Rating effect, which increases your Critical Rating by 40 per stack for 8 seconds. This effect can stack up to 5 times. While channelling you are rooted to the ground. Applies Vulnerable to Melee."
Collaboration,Pistol,Ranged,Troubleshooting,9,,Active - Builder,,,,,,,1000,0,Damage,,,Builds 1 resource for each equipped weapon. A single target attack that deals 47 physical damage. Cleanses you of 1 detrimental effect. This effect has an internal recharge time of 5 seconds.
Ready For More,Pistol,Ranged,Troubleshooting,12,,Passive,,,,,,,N/A,N/A,N/A,Focus,,"Whenever you finish channelling a Focus ability, you also perform a PBAoE that cleanses 1 detrimental effect from up to 3 friends around you. This cannot happen more that once every 10 seconds."
"Bond, Strong Bond",Pistol,Ranged,Troubleshooting,16,,Active - Consumer,,,,,,,3000,4000,Damage,,,"Channelled: Every 0.3 seconds for 3 seconds. Consumers all Pistol Resources. A channelled attack that deals 18 - 29 physical damage, based on the number of resources consumed. At the end of the channel, cleanses 1 detrimental effect from up to 5 allies within 5 metres of you."
Critical Help,Pistol,Ranged,Troubleshooting,21,,Passive,,,,,,,N/A,N/A,N/A,Summon,,"Whenever you summon a manifestation, turret, mine or drone, your group also gains 1 stack of the Critical Rating effect, which increases Critical Rating by 40 per stack for 8 seconds. This effect can stack up to 5 times."
Area Drone,Pistol,Ranged,Troubleshooting,27,,Active - Consumer,,,,,,,1000,4000,"Damage, Support",,,"Consumes all Pistol Resources. Summons a drone that will follow you around for 5 seconds. Every seconds it will attack up to 6 enemies around the target, dealing 16 - 31 physical damage, or 18 - 35 physical damage to targets that are Weakened. If the target dies before the drone is finished attacking it will deal 39 - 77 physical damage to targets within the same area. Damage scales based on the number of resources consumed."
Shot in the Arm,Pistol,Ranged,Troubleshooting,34,,Passive,,,,,,,N/A,N/A,N/A,Cleanse,,"Whenever you attempt to cleanse a detrimental effect, the target is also healed for Y and the recharge time of all movement abilities currently recharging is reduced by 1 seconds."
